code,libelle,cadre_reglementaire
PCAET,Plan Climat-Air-Énergie Territorial,"Loi TECV 2015, obligatoire EPCI > 20 000 hab."
CRTE,Contrat de Relance et de Transition Écologique,Circulaire PM 2020
PAT,Projet Alimentaire Territorial,Loi d'avenir agriculture 2014
PLUi,Plan Local d'Urbanisme Intercommunal,Code de l'urbanisme
SCoT,Schéma de Cohérence Territoriale,Code de l'urbanisme
PDM,Plan de Mobilité,LOM 2019
PLUi-H,PLUi tenant lieu de PLH,Code de l'urbanisme + Code de la construction
Agenda21,Agenda 21 local,Sommet de Rio 1992 (non obligatoire)
